Month of Order Date,Product Name,Sales
13-Dec,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",275
13-Dec,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",2244
13-Dec,Case Logic 2.4GHz Wireless Keyboard,100
13-Dec,"Carina Mini System Audio Rack, Model AR050B",999
13-Dec,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",14
13-Dec,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",35
13-Dec,Canvas Sectional Post Binders,153
13-Dec,Canon PC940 Copier,1080
13-Dec,Cameo Buff Policy Envelopes,348
13-Dec,Bretford Rectangular Conference Table Tops,3611
13-Dec,"Boston School Pro Electric Pencil Sharpener, 1670",99
13-Dec,Boston Home & Office Model 2000 Electric Pencil Sharpeners,47
13-Dec,"BlueLounge Milo Smartphone Stand, White/Metallic",96
13-Dec,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17
13-Dec,Bionaire 99.97% HEPA Air Cleaner,14
13-Dec,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",30
13-Dec,Bevis Steel Folding Chairs,230
13-Dec,Bestar Classic Bookcase,255
13-Dec,Belkin Standard 104 key USB Keyboard,35
13-Dec,Belkin QODE FastFit Bluetooth Keyboard,248
13-Dec,Belkin Premiere Surge Master II 8-outlet surge protector,19
13-Dec,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,264
13-Dec,Belkin 7-Outlet SurgeMaster Home Series,14
13-Dec,Avery Heavy-Duty EZD View Binder with Locking Rings,5
13-Dec,Avery Hanging File Binders,14
13-Dec,Avery Binder Labels,1
13-Dec,Avery 516,15
13-Dec,Avery 509,16
13-Dec,Avery 499,28
13-Dec,Avery 492,29
13-Dec,Avery 489,31
13-Dec,Avery 487,4
13-Dec,Avery 477,275
13-Dec,Avery 51,19
13-Dec,Avanti 4.4 Cu. Ft. Refrigerator,362
13-Dec,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1573
13-Dec,AT&T 1080 Corded phone,329
13-Dec,Astroparche Fine Business Paper,8
13-Dec,Assorted Color Push Pins,3
13-Dec,ARKON Windshield Dashboard Air Vent Car Mount Holder,41
13-Dec,"Angle-D Binders with Locking Rings, Label Holders",47
13-Dec,Alphabetical Labels for Top Tab Filing,89
13-Dec,Advantus T-Pin Paper Clips,23
13-Dec,Advantus Rolling Storage Box,51
13-Dec,Advantus Rolling Drawer Organizers,269
13-Dec,Advantus Plastic Paper Clips,15
13-Dec,Adjustable Personal File Tote,39
13-Dec,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",11
13-Dec,Acme Value Line Scissors,3
13-Dec,Acme Stainless Steel Office Snips,7
13-Dec,Acme Rosewood Handle Letter Opener,12
13-Dec,Acme Box Cutter Scissors,51
13-Dec,"ACCOHIDE 3-Ring Binder, Blue, 1""",12
13-Dec,Acco Side-Punched Conventional Columnar Pads,14
13-Dec,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",6
13-Dec,Acco Perma 3000 Stacking Storage Drawers,185
13-Dec,Acco Hanging Data Binders,2
13-Dec,Acco 6 Outlet Guardian Standard Surge Suppressor,48
13-Dec,12-1/2 Diameter Round Wall Clock,64
14-Jan,Xerox 1999,13
14-Jan,Xerox 1991,183
14-Jan,Xerox 1959,20
14-Jan,Xerox 21,10
14-Jan,"Wirebound Service Call Books, 5 1/2"" x 4""",29
14-Jan,Wilson Jones data.warehouse D-Ring Binders with DublLock,13
14-Jan,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",52
14-Jan,Speck Products Candyshell Flip Case,63
14-Jan,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,90
14-Jan,"Seth Thomas 13 1/2"" Wall Clock",53
14-Jan,SanDisk Cruzer 4 GB USB Flash Drive,10
14-Jan,"SAFCO Mobile Desk Side File, Wire Frame",86
14-Jan,Rediform Voice Mail Log Books,14
14-Jan,Recycled Pressboard Report Cover with Reinforced Top Hinge,2
14-Jan,Polycom VVX 310 VoIP phone,432
14-Jan,O'Sullivan Living Dimensions 5-Shelf Bookcases,1352
14-Jan,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452
14-Jan,Nortel Meridian M5316 Digital phone,155
14-Jan,Newell 317,7
14-Jan,Newell 313,10
14-Jan,Newell 34,60
14-Jan,LG Electronics Tone+ HBS-730 Bluetooth Headset,107
14-Jan,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",30
14-Jan,Ibico Standard Transparent Covers,33
14-Jan,HON 5400 Series Task Chairs for Big and Tall,2804
14-Jan,High-Back Leather Manager's Chair,182
14-Jan,Harbour Creations 67200 Series Stacking Chairs,199
14-Jan,Global Deluxe Steno Chair,62
14-Jan,GE 30524EE4,235
14-Jan,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32
14-Jan,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",78
14-Jan,Fellowes Binding Cases,56
14-Jan,Enermax Acrylux Wireless Keyboard,398
14-Jan,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,255
14-Jan,Easy-staple paper,106
14-Jan,"Dual Level, Single-Width Filing Carts",465
14-Jan,"Deflect-o EconoMat Nonstudded, No Bevel Mat",465
14-Jan,DAX Wood Document Frame,192
14-Jan,Crayola Colored Pencils,13
14-Jan,"Computer Room Manger, 14""",227
14-Jan,Cisco 9971 IP Video Phone Charcoal,1188
14-Jan,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4298
14-Jan,Bush Advantage Collection Racetrack Conference Table,1018
14-Jan,Boston 1730 StandUp Electric Pencil Sharpener,43
14-Jan,Binding Machine Supplies,70
14-Jan,"BIC Brite Liner Highlighters, Chisel Tip",10
14-Jan,Bevis Round Conference Table Top & Single Column Base,102
14-Jan,Belkin 5 Outlet SurgeMaster Power Centers,163
14-Jan,Bady BDG101FRU Card Printer,1920
14-Jan,Avery Fluorescent Highlighter Four-Color Set,7
14-Jan,Avery 508,10
14-Jan,Avery 505,24
14-Jan,Avery 500,15
14-Jan,Anker 24W Portable Micro USB Car Charger,26
14-Jan,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",40
14-Jan,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",89
14-Jan,Acco 6 Outlet Guardian Premium Surge Suppressor,87
14-Jan,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17
14-Feb,Xerox 1959,13
14-Feb,Xerox 1957,13
14-Feb,Xerox 1920,66
14-Feb,Xerox 1881,37
14-Feb,Xerox 22,19
14-Feb,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",10
14-Feb,Wilson Jones Standard D-Ring Binders,12
14-Feb,UniKeep View Case Binders,3
14-Feb,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",671
14-Feb,Tennsco Industrial Shelving,147
14-Feb,Staple envelope,75
14-Feb,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,9
14-Feb,SANFORD Liquid Accent Tank-Style Highlighters,6
14-Feb,"Sanford Colorific Colored Pencils, 12/Box",6
14-Feb,Sanford 52201 APSCO Electric Pencil Sharpener,287
14-Feb,Samsung Galaxy S4,626
14-Feb,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),700
14-Feb,Round Specialty Laser Printer Labels,40
14-Feb,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4
14-Feb,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,1269
14-Feb,Newell 315,14
14-Feb,Newell 310,5
14-Feb,Newell 34,79
14-Feb,Microsoft Natural Keyboard Elite,539
14-Feb,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,19
14-Feb,Memorex Micro Travel Drive 8 GB,21
14-Feb,MaxellæLTO Ultrium - 800 GB,140
14-Feb,Logitech Wireless Headset h800,480
14-Feb,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,150
14-Feb,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,541
14-Feb,JBL Micro Wireless Portable Bluetooth Speaker,108
14-Feb,Innergie mMini Combo Duo USB Travel Charging Kit,135
14-Feb,i.Sound Portable Power - 8000 mAh,106
14-Feb,Hoover Portapower Portable Vacuum,27
14-Feb,"Hon Metal Bookcases, Putty",284
14-Feb,Hon 61000 Series Interactive Training Tables,36
14-Feb,Hand-Finished Solid Wood Document Frame,137
14-Feb,Google Nexus 5,324
14-Feb,"Global Push Button Manager's Chair, Indigo",390
14-Feb,Global Low Back Tilter Chair,162
14-Feb,"Global Fabric Manager's Chair, Dark Gray",91
14-Feb,"Global Deluxe Stacking Chair, Gray",204
14-Feb,GBC Standard Therm-A-Bind Covers,15
14-Feb,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2542
14-Feb,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",16
14-Feb,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,77
14-Feb,Easy-staple paper,49
14-Feb,"Dana Fluorescent Magnifying Lamp, White, 36""",41
14-Feb,Coloredge Poster Frame,28
14-Feb,Cameo Buff Policy Envelopes,311
14-Feb,"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",26
14-Feb,Belkin F8E887 USB Wired Ergonomic Keyboard,72
14-Feb,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",494
14-Feb,Avery Self-Adhesive Photo Pockets for Polaroid Photos,11
14-Feb,Avery Durable Binders,12
14-Feb,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",61
14-Feb,Avery 518,3
14-Feb,Avery 485,88
14-Feb,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,30
14-Feb,"Advantus Push Pins, Aluminum Head",6
14-Feb,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",23
14-Feb,Acco Hanging Data Binders,2
14-Feb,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",42
14-Mar,XtraLife ClearVue Slant-D Ring Binders by Cardinal,14
14-Mar,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",59
14-Mar,Xerox 1999,16
14-Mar,Xerox 1997,19
14-Mar,Xerox 1988,74
14-Mar,Xerox 1977,33
14-Mar,Xerox 1974,12
14-Mar,Xerox 1919,66
14-Mar,Xerox 1883,295
14-Mar,Xerox 1880,213
14-Mar,Xerox 223,19
14-Mar,Xerox 205,52
14-Mar,Wireless Extenders zBoost YX545 SOHO Signal Booster,454
14-Mar,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",40
14-Mar,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,69
14-Mar,Wilson Jones Century Plastic Molded Ring Binders,50
14-Mar,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",98
14-Mar,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",18
14-Mar,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",17
14-Mar,Tops Wirebound Message Log Books,10
14-Mar,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",193
14-Mar,"Tennsco Lockers, Sand",84
14-Mar,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",34
14-Mar,Tenex B1-RE Series Chair Mats for Low Pile Carpets,92
14-Mar,Stockwell Push Pins,11
14-Mar,Staples,50
14-Mar,Staple holder,61
14-Mar,Staple envelope,29
14-Mar,Square Credit Card Reader,32
14-Mar,Southworth Parchment Paper & Envelopes,5
14-Mar,Southworth 25% Cotton Antique Laid Paper & Envelopes,40
14-Mar,Sony 16GB Class 10 Micro SDHC R40 Memory Card,10
14-Mar,"SmartStand Mobile Device Holder, Assorted Colors",17
14-Mar,"Situations Contoured Folding Chairs, 4/Set",99
14-Mar,Self-Adhesive Address Labels for Typewriters by Universal,15
14-Mar,Security-Tint Envelopes,23
14-Mar,Sauder Inglewood Library Bookcases,359
14-Mar,Samsung Convoy 3,466
14-Mar,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",142
14-Mar,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",513
14-Mar,Rogers Profile Extra Capacity Storage Tub,84
14-Mar,Rogers Handheld Barrel Pencil Sharpener,3
14-Mar,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",33
14-Mar,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",24
14-Mar,PureGear Roll-On Screen Protector,80
14-Mar,Portable Personal File Box,29
14-Mar,Plantronics MX500i Earset,86
14-Mar,Pizazz Global Quick File,90
14-Mar,Personal File Boxes with Fold-Down Carry Handle,47
14-Mar,"Performers Binder/Pad Holder, Black",11
14-Mar,Panasonic KX T7736-B Digital phone,360
14-Mar,Panasonic KX T7731-B Digital phone,200
14-Mar,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,55
14-Mar,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",367
14-Mar,Nortel Meridian M3904 Professional Digital phone,770
14-Mar,Newell 344,8
14-Mar,Newell 333,6
14-Mar,Newell 316,20
14-Mar,Multicolor Computer Printout Paper,210
14-Mar,Microsoft Sculpt Comfort Mouse,120
14-Mar,Memorex Froggy Flash Drive 8 GB,53
14-Mar,Maxell 4.7GB DVD-R,114
14-Mar,Logitech G602 Wireless Gaming Mouse,448
14-Mar,Logitech G600 MMO Gaming Mouse,240
14-Mar,LG G3,588
14-Mar,KI Adjustable-Height Table,172
14-Mar,KeyTronicæKT800P2 -æKeyboardæ- Black,15
14-Mar,Jackery Bar Premium Fast-charging Portable Charger,96
14-Mar,"Iris 3-Drawer Stacking Bin, Black",150
14-Mar,Imation Bio 8GB USBæFlash Drive ImationæCorp,166
14-Mar,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,24
14-Mar,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",43
14-Mar,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,4
14-Mar,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,962
14-Mar,Hon Racetrack Conference Tables,788
14-Mar,Hon Mobius Operator's Chair,861
14-Mar,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,1167
14-Mar,"Global Value Mid-Back Manager's Chair, Gray",384
14-Mar,Global Deluxe Steno Chair,293
14-Mar,Global Deluxe High-Back Manager's Chair,915
14-Mar,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",30
14-Mar,GBC Standard Plastic Binding Systems' Combs,3
14-Mar,"GBC Laser Imprintable Binding System Covers, Desert Sand",13
14-Mar,GBC Imprintable Covers,18
14-Mar,GBC DocuBind TL200 Manual Binding Machine,672
14-Mar,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,20
14-Mar,"Fellowes Strictly Business Drawer File, Letter/Legal Size",563
14-Mar,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6355
14-Mar,Fellowes PB200 Plastic Comb Binding Machine,1088
14-Mar,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",7
14-Mar,Eldon Wave Desk Accessories,5
14-Mar,Eldon Shelf Savers Cubes and Bins,28
14-Mar,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",47
14-Mar,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",31
14-Mar,Easy-staple paper,106
14-Mar,"Dual Level, Single-Width Filing Carts",1085
14-Mar,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",492
14-Mar,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",3
14-Mar,Disposable Triple-Filter Dust Bags,13
14-Mar,Deluxe Rollaway Locking File with Drawer,1248
14-Mar,Deflect-o Glass Clear Studded Chair Mats,808
14-Mar,Dana Halogen Swing-Arm Architect Lamp,328
14-Mar,Convenience Packs of Business Envelopes,9
14-Mar,"Companion Letter/Legal File, Black",60
14-Mar,Colored Envelopes,7
14-Mar,ClearOne CHATAttach 160 -æspeaker phone,1488
14-Mar,Cisco SPA525G2 IP Phone - Wireless,32
14-Mar,Carina Double Wide Media Storage Towers in Natural & Black,130
14-Mar,Canon PC1060 Personal Laser Copier,1120
14-Mar,Canon PC940 Copier,3150
14-Mar,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",383
14-Mar,Bush Advantage Collection Racetrack Conference Table,3394
14-Mar,Brown Kraft Recycled Envelopes,102
14-Mar,Boston 1900 Electric Pencil Sharpener,15
14-Mar,Binder Clips by OIC,7
14-Mar,Avery Round Ring Poly Binders,3
14-Mar,Avery Premier Heavy-Duty Binder with Round Locking Rings,9
14-Mar,Avery Hi-Liter Smear-Safe Highlighters,18
14-Mar,Avery 518,5
14-Mar,Avery 514,5
14-Mar,Avery 476,17
14-Mar,Avanti 4.4 Cu. Ft. Refrigerator,181
14-Mar,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1228
14-Mar,AT&T 17929 Lendline Telephone,181
14-Mar,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",18
14-Mar,"Adams Telephone Message Books, 5 1/4î x 11î",14
14-Mar,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",24
14-Mar,Acrylic Self-Standing Desk Frames,6
14-Mar,Acme Elite Stainless Steel Scissors,33
14-Mar,Acco Suede Grain Vinyl Round Ring Binder,1
14-Mar,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,73
14-Mar,50 Colored Long Pencils,10
14-Mar,36X48 HARDFLOOR CHAIRMAT,34
14-Mar,3M Polarizing Light Filter Sleeves,22
14-Apr,Xerox 1994,16
14-Apr,Xerox 1973,55
14-Apr,Xerox 1949,16
14-Apr,Xerox 1916,117
14-Apr,Xerox 1903,12
14-Apr,Xerox 1884,48
14-Apr,Xerox 210,31
14-Apr,Xerox 192,26
14-Apr,Xerox 19,62
14-Apr,Xerox 2,13
14-Apr,X-Rack File for Hanging Folders,23
14-Apr,"Wilson Jones Hanging View Binder, White, 1""",21
14-Apr,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),6
14-Apr,"Vtech AT&T CL2940 Corded Speakerphone, Black",72
14-Apr,Tyvek Side-Opening Peel & Seel Expanding Envelopes,181
14-Apr,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",41
14-Apr,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",947
14-Apr,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97
14-Apr,Tenex Antistatic Computer Chair Mats,1744
14-Apr,"Tenex ""The Solids"" Textured Chair Mats",210
14-Apr,"Super Bands, 12/Pack",10
14-Apr,Steel Personal Filing/Posting Tote,142
14-Apr,Staples in misc. colors,23
14-Apr,Staples,18
14-Apr,Speck Products Candyshell Flip Case,42
14-Apr,Shocksock Galaxy S4 Armband,11
14-Apr,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,240
14-Apr,Samsung HM1900 Bluetooth Headset,88
14-Apr,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,64
14-Apr,Safco Industrial Wire Shelving System,73
14-Apr,"SAFCO Commercial Wire Shelving, Black",221
14-Apr,"Rogers Jumbo File, Granite",41
14-Apr,RCA ViSYS 25825 Wireless digital phone,312
14-Apr,Razer Kraken PRO Over Ear PC and Music Headset,384
14-Apr,Pyle PMP37LED,288
14-Apr,Prang Drawing Pencil Set,6
14-Apr,Polycom CX600 IP Phone VoIP phone,480
14-Apr,Plantronics S12 Corded Telephone Headset System,323
14-Apr,Plantronics Calisto P620-M USB Wireless Speakerphone System,784
14-Apr,Plantronics Audio 478 Stereo USB Headset,200
14-Apr,Plantronics 81402,119
14-Apr,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",18
14-Apr,OtterBox Commuter Series Case - iPhone 5 & 5s,22
14-Apr,O'Sullivan 3-Shelf Heavy-Duty Bookcases,523
14-Apr,Novimex Turbo Task Chair,128
14-Apr,Newell 348,8
14-Apr,Newell 345,60
14-Apr,Newell 331,12
14-Apr,Newell 324,92
14-Apr,Newell 312,42
14-Apr,"Neat Ideas Personal Hanging Folder Files, Black",11
14-Apr,Memorex Froggy Flash Drive 8 GB,107
14-Apr,Maxell 4.7GB DVD-RW 3/Pack,25
14-Apr,Maxell 4.7GB DVD-R,85
14-Apr,Martin-Yale Premier Letter Opener,13
14-Apr,Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5,98
14-Apr,Longer-Life Soft White Bulbs,6
14-Apr,Logitech Keyboard K120,44
14-Apr,"Logitech B530 USBæHeadsetæ-æheadsetæ- Full size, Binaural",89
14-Apr,Laser & Ink Jet Business Envelopes,21
14-Apr,Laminate Occasional Tables,370
14-Apr,Konftel 250 Conferenceæphoneæ- Charcoal black,570
14-Apr,Kingston Digital DataTraveler 16GB USB 2.0,50
14-Apr,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,187
14-Apr,Kensington 4 Outlet MasterPiece Compact Power Control Center,407
14-Apr,Jabra SPEAK 410,470
14-Apr,Insertable Tab Post Binder Dividers,13
14-Apr,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",210
14-Apr,"Iceberg OfficeWorks 42"" Round Tables",453
14-Apr,Ibico Covers for Plastic or Wire Binding Elements,7
14-Apr,Hoover Upright Vacuum With Dirt Cup,1911
14-Apr,Hoover Shoulder Vac Commercial Portable Vacuum,644
14-Apr,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,370
14-Apr,Hon 94000 Series Round Tables,711
14-Apr,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,408
14-Apr,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",206
14-Apr,Holmes Odor Grabber,9
14-Apr,High-Back Leather Manager's Chair,832
14-Apr,GuestStacker Chair with Chrome Finish Legs,892
14-Apr,Grandstream GXP2100 Mainstream Business Phone,245
14-Apr,"Global Value Mid-Back Manager's Chair, Gray",213
14-Apr,"Global Leather Task Chair, Black",90
14-Apr,"Global Geo Office Task Chair, Gray",57
14-Apr,Global Deluxe Office Fabric Chairs,192
14-Apr,Global Comet Stacking Arm Chair,1268
14-Apr,"Global Armless Task Chair, Royal Blue",128
14-Apr,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",595
14-Apr,"GBC Velobind Prepunched Cover Sets, Regency Series",55
14-Apr,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",12
14-Apr,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",4
14-Apr,GBC Prestige Therm-A-Bind Covers,82
14-Apr,GBC Premium Transparent Covers with Diagonal Lined Pattern,50
14-Apr,GBC Plastic Binding Combs,1
14-Apr,GBC DocuBind 300 Electric Binding Machine,158
14-Apr,Flat Face Poster Frame,38
14-Apr,"Fellowes Twister Kit, Gray/Clear, 3/pkg",10
14-Apr,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",20
14-Apr,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3813
14-Apr,Fellowes PB300 Plastic Comb Binding Machine,310
14-Apr,Fellowes High-Stak Drawer Files,564
14-Apr,Fellowes Black Plastic Comb Bindings,31
14-Apr,Faber Castell Col-Erase Pencils,15
14-Apr,Executive Impressions Supervisor Wall Clock,67
14-Apr,"Executive Impressions 14"" Two-Color Numerals Wall Clock",55
14-Apr,Enermax Acrylux Wireless Keyboard,100
14-Apr,"Eldon Imöge Series Desk Accessories, Clear",24
14-Apr,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,108
14-Apr,"Eldon 200 Class Desk Accessories, Burgundy",31
14-Apr,Easy-staple paper,53
14-Apr,"DXL Angle-View Binders with Locking Rings, Black",62
14-Apr,Dixon Ticonderoga Pencils,24
14-Apr,DIXON Ticonderoga Erasable Checking Pencils,11
14-Apr,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",9
14-Apr,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",8
14-Apr,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,35
14-Apr,Crayola Colored Pencils,10
14-Apr,Cisco Unified IP Phone 7945G VoIP phone,1023
14-Apr,Cisco SPA525G2 5-Line IP Phone,1380
14-Apr,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",610
14-Apr,Cardinal Slant-D Ring Binders,10
14-Apr,Cardinal EasyOpen D-Ring Binders,9
14-Apr,Canon PC-428 Personal Copier,640
14-Apr,Canon PC940 Copier,1440
14-Apr,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38
14-Apr,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",352
14-Apr,Brother DCP1000 Digital 3 in 1 Multifunction Machine,600
14-Apr,Bretford CR4500 Series Slim Rectangular Table,192
14-Apr,"Boston School Pro Electric Pencil Sharpener, 1670",74
14-Apr,"BOSTON Ranger #55 Pencil Sharpener, Black",26
14-Apr,Boston 1730 StandUp Electric Pencil Sharpener,64
14-Apr,Bionaire 99.97% HEPA Air Cleaner,98
14-Apr,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,45
14-Apr,Belkin 6 Outlet Metallic Surge Strip,44
14-Apr,Belkin 5 Outlet SurgeMaster Power Centers,272
14-Apr,Barrel Sharpener,11
14-Apr,Avery Round Ring Poly Binders,9
14-Apr,Avery 499,24
14-Apr,Avery 486,22
14-Apr,Avery 485,75
14-Apr,Assorted Color Push Pins,1
14-Apr,Apple iPhone 5C,240
14-Apr,APC 7 Outlet Network SurgeArrest Surge Protector,32
14-Apr,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,48
14-Apr,Aluminum Screw Posts,9
14-Apr,Akro-Mils 12-Gallon Tote,24
14-Apr,Advantus Rolling Drawer Organizers,115
14-Apr,Acme Value Line Scissors,6
14-Apr,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,35
14-Apr,Acco Expandable Hanging Binders,13
14-Apr,Aastra 57i VoIP phone,259
14-Apr,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,76
14-May,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2973
14-May,Xerox 1991,18
14-May,Xerox 1988,173
14-May,Xerox 1978,32
14-May,Xerox 1964,128
14-May,Xerox 1962,13
14-May,Xerox 1953,26
14-May,Xerox 1937,154
14-May,Xerox 1912,38
14-May,Xerox 1902,46
14-May,Xerox 1897,8
14-May,Xerox 1894,32
14-May,Xerox 1889,275
14-May,Xerox 1883,106
14-May,Xerox 219,45
14-May,Xerox 204,19
14-May,Xerox 198,16
14-May,"Wirebound Message Book, 4 per Page",11
14-May,Wilson Jones Legal Size Ring Binders,44
14-May,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",25
14-May,Wilson Jones Custom Binder Spines & Labels,5
14-May,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,467
14-May,Westinghouse Clip-On Gooseneck Lamps,75
14-May,Wausau Papers Astrobrights Colored Envelopes,18
14-May,VTech DS6151,580
14-May,Ultra Door Push Plate,15
